data_captura,conjunto,arquivo_origem,registro_hash,auditor,bairro,bairro_resp,categ_reg,cd_cvm,cep,cep_resp,cnpj_auditor,cnpj_cia,compl,compl_resp,controle_acionario,ddd_fax,ddd_fax_resp,ddd_tel,ddd_tel_resp,denom_comerc,denom_social,dt_cancel,dt_const,dt_ini_categ,dt_ini_resp,dt_ini_sit,dt_ini_sit_emissor,dt_reg,email,email_resp,fax,fax_resp,logradouro,logradouro_resp,motivo_cancel,mun,mun_resp,pais,pais_resp,resp,setor_ativ,sit,sit_emissor,tel,tel_resp,tp_ender,tp_merc,tp_resp,uf,uf_resp
2026-06-18,cvm_cadastro_companhias_abertas,,55da2bc4c4232b5b87ef2e06,REVISORA NACIONAL AUD. INDEP.,,,,1961,1313000,3011-00-00,33.036.252/0001-20,60.837.689/0001-35,,,PRIVADO,,0011,11,11,BRASMETAL,BRASMETAL CIA BRAS METALURGIA,1990-12-28,,,1969-07-29,1990-12-28,,1969-07-29,,,,,AV PAULISTA 1439/7 CONJ 73,ALAMEDA SANTOS 1800/13 CONJ B,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,SÃO PAULO,SÃO PAULO,BRASIL,,DARIO FERREIRA GUARITA FILHO,Emp. Adm. Participações,CANCELADA,,2830400,2830400,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,ddf59885c1766a51aba4518e,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.,Brooklin Novo,BROOKLIN NOVO,Categoria A,1970,4578000,4578000,10.830.108/0001-65,61.084.984/0001-20,32º andar,32 ANDAR,ESTRANGEIRO,11,11,11,11,BRASMOTOR S.A,BRASMOTOR SA,2016-12-22,1945-07-25,2010-01-01,2012-02-16,2016-12-22,1969-08-08,1969-08-08,investidores@whirlpool.com,investidores@whirlpool.com,3787-64-84,3787-64-84,"Avenida das Nações Unidas, 12995","AV. DAS NAÇOES UNIDAS, 12995",CANCELAMENTO VOLUNTÁRIO,SÃO PAULO,SÃO PAULO,BRASIL,,ARTHUR HENRIQUE DE AGUIAR CANÇADO AZEVEDO,"Máquinas, Equipamentos, Veículos e Peças",CANCELADA,FASE OPERACIONAL,3787-61-02,3787-61-02,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,0879943f268360db6a3ccfe4,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,PRAIA CUMBUCO,ALDEOTA,,19399,6160-00-00,6017-02-51,49.928.567/0001-11,01.946.997/0001-30,2,SALA 1308,PRIVADO,85,85,85,85,BRAUSTAM HOTEIS SA,BRAUSTAM HOTEIS REIT SA,2005-07-21,1997-06-15,,2003-05-14,2005-07-21,,2003-05-14,braustamhoteis@uol.com.br,gramn@uol.com.br,2643181,2643181,AV DOS COQUEIROS 4000 - SALA 0,"AV. SEN. VIRGíLIO TáVORA, 1701",ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02,CAUCAIA,FORTALEZA,BRASIL,,NELSON MAGALHaES GRAçA,Hospedagem e Turismo,CANCELADA,,2682132,2682132,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,CE,
2026-06-18,cvm_cadastro_companhias_abertas,,0f59322694101da0317c2ce4,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,Botafogo,BOTAFOGO,Categoria A,25291,2225-01-45,2225-01-45,61.366.936/0001-25,12.091.809/0001-55,"SL 1401, 1501",16º ANDAR,PRIVADO,,0,21,21,,BRAVA ENERGIA S.A.,,2010-06-08,2020-11-09,2025-11-24,2020-11-09,2020-08-31,2020-11-09,ri@bravaenergia.com,ri@bravaenergia.com,,0,"Praia de Botafogo, 186","PRAIA DE BOTAFOGO, 186",,RIO DE JANEIRO,RIO DE JANEIRO,BRASIL,,LUIZ FELIPE CHAVES DE CARVALHO,Petróleo e Gás,ATIVO,FASE OPERACIONAL,2145-55-55,3475-55-55,SEDE,BALCÃO ORGANIZADO,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,RJ
2026-06-18,cvm_cadastro_companhias_abertas,,9348ffbcb84fa2f655a0ea09,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,Botafogo,BOTAFOGO,Categoria A,25291,2225-01-45,2225-01-45,61.366.936/0001-25,12.091.809/0001-55,"SL 1401, 1501",16º ANDAR,PRIVADO,,0,21,21,,BRAVA ENERGIA S.A.,,2010-06-08,2020-11-09,2025-11-24,2020-11-09,2020-08-31,2020-11-09,ri@bravaenergia.com,ri@bravaenergia.com,,0,"Praia de Botafogo, 186","PRAIA DE BOTAFOGO, 186",,RIO DE JANEIRO,RIO DE JANEIRO,BRASIL,,LUIZ FELIPE CHAVES DE CARVALHO,Petróleo e Gás,ATIVO,FASE OPERACIONAL,2145-55-55,3475-55-55,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,RJ
2026-06-18,cvm_cadastro_companhias_abertas,,c5a003ae59f9080f39529123,KPMG AUDITORES ASSOCIADOS,VILA OLIMPIA,VILA OLIMPIA,,19674,4551065,4551065,52.803.244/0001-06,03.144.779/0001-07,BLOCO C 3O ANDAR,BL. B 3º ANDAR,PRIVADO,11,11,11,11,BRAVO SECURITIZADORA,BRAVO SECURITIZADORA S/A,2008-10-31,2003-01-01,,2008-01-18,2008-10-31,,2005-03-21,regis.dallagnese@riobravo.com.br,regis.dallagnese@riobravo.com.br,2107-66-00,2107-66-00,AV CHEDID JAFET 222,AVENIDA CHEDID JAFET N.º 222,ELISÃO POR INCORPORAÇÃO,SÃO PAULO,SÃO PAULO,BRASIL,,RÉGIS DALL?AGNESE,Securitização de Recebíveis,CANCELADA,,2107-66-00,2107-66-00,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,d8e1b0ba63a8411b475fa839,UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES,JARDIM PAULISTA,JARDIM PAULISTA,Categoria A,21865,5401100,5401100,42.170.852/0001-77,10.826.798/0001-89,3º ANDAR,3º ANDAR,PRIVADO,11,11,11,11,BFG,BRAZAL - BRASIL ALIMENTOS S.A.,2016-08-30,2009-04-30,2012-12-11,2010-10-26,2016-08-30,2009-12-11,2009-12-11,dri@brazal.com.br,dri@brazal.com.br,3262-04-89,3262-04-89,AVENIDA REBOUÇAS Nº 765,AVENIDA REBOUÇAS Nº 765,CANCELAMENTO DE OFÍCIO,SÃO PAULO,SÃO PAULO,BRASIL,,GUALTIERO SCHLICHTING PICCOLI,Emp. Adm. Part. - Comércio (Atacado e Varejo),CANCELADA,FASE PRÉ-OPERACIONAL,3262-04-89,3262-04-89,SEDE,BALCÃO ORGANIZADO,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,c603683052a1f927087d17cb,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,Vale do Sereno,Vale do Sereno,Categoria B,27316,3400-60-49,3400-60-49,61.366.936/0001-25,14.292.540/0001-09,"6º andar, sala 601","6º andar, salas 601",PRIVADO HOLDING,,,31,31,"BRAZIL TOWER, CESSÃO DE INFRA-ESTRUTURAS S.A","BRAZIL TOWER, CESSÃO DE INFRA-ESTRUTURAS S.A",,2011-08-22,2023-06-20,2023-06-12,2023-09-04,2023-06-20,2023-09-04,ri@braziltowercompany.com.br,ri@braziltowercompany.com,,,"Alameda Oscar Niemeyer, nº 222","Alameda Oscar Niemeyer, nº 222",,NOVA LIMA,NOVA LIMA,BRASIL,,Chahram Charles Zolfaghari,Telecomunicações,ATIVO,FASE OPERACIONAL,994570077,994570077,SEDE,BALCÃO ORGANIZADO,DIRETOR DE RELAÇÕES COM INVESTIDORES,MG,MG
2026-06-18,cvm_cadastro_companhias_abertas,,6fd82c1e14e81b9e9be1739f,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,Bela Vista,Bela Vista,Categoria B,17922,1310100,1310100,61.562.112/0001-20,02.762.113/0001-50,15º andar,15º andar,PRIVADO,11,,11,11,BRAZILIAN FINANCE & REAL ESTATE S.A.,BRAZILIAN FINANCE & REAL ESTATE S.A.,2024-08-16,1998-08-25,2019-03-19,2023-04-25,2024-08-16,2001-04-01,1998-11-10,ri_bfre@grupopan.com,ri@grupopan.com,3264-52-75,,"Av. Paulista, 1.374","Avenida Paulista, 1374",CANCELAMENTO VOLUNTÁRIO,SÃO PAULO,SÃO PAULO,BRASIL,,Leonardo Ricci Scutti,Emp. Adm. Part. - Crédito Imobiliário,CANCELADA,FASE OPERACIONAL,3264-51-14,990000000,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,
2026-06-18,cvm_cadastro_companhias_abertas,,5052b485846e7313b9192aee,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.,Bela Vista,Bela Vista,Categoria B,18759,1310100,131010,10.830.108/0001-65,03.767.538/0001-14,17º andar,Décimo sexto andar,PRIVADO,11,,11,11,BRAZILIAN SECURITIES CIA SECURITIZAÇÃO,BRAZILIAN SECURITIES CIA SECURITIZAÇÃO,2026-03-11,2000-04-10,2010-01-01,2025-05-22,2026-03-11,2001-03-31,2000-09-04,ri_bs@grupopan.com,ri@grupopan.com,4081-47-21,,"Av. Paulista, 1.374",Av. Paulista 1374,CANCELAMENTO VOLUNTÁRIO,SÃO PAULO,SÃO PAULO,BRASIL,,André Luiz Calabró,Securitização de Recebíveis,CANCELADA,FASE OPERACIONAL,3264-51-14,3264-53-43,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,
2026-06-18,cvm_cadastro_companhias_abertas,,604308beb0a8dc57fbe36610,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.,ASA NORTE,Asa Norte,Categoria A,14206,7004-02-50,7004-02-50,10.830.108/0001-65,00.000.208/0001-00,CNC,CNC,ESTATAL,61,,61,61,BRB,BRB BANCO DE BRASILIA SA,,1964-12-10,2010-01-01,2026-02-11,1993-09-24,1993-09-24,1993-09-24,ri@brb.com.br,ri@brb.com.br,3412-80-92,,SAUN QUADRA 5 LOTE C BLOCO C 17° ANDAR,SAUN Quadra 5 Lote C Bloco C 17° andar,,BRASÍLIA,BRASÍLIA,,,ANTÔNIO JOSÉ BARRETO DE ARAÚJO JÚNIOR,Bancos,ATIVO,FASE OPERACIONAL,3322-15-15,3409-20-85,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,DF,
2026-06-18,cvm_cadastro_companhias_abertas,,fe10ef54fa3c0a0bc9227773,WALTER HEUER AUDITORES INDEPENDENTES,,,,6009,2052-00-00,2052-00-00,61.411.393/0001-10,33.136.888/0001-43,,,PRIVADO,,0021,21,21,FIANCA CFI,BRB CRED FINANC E INVEST SA,1987-05-08,,,1972-07-20,1987-05-08,,1972-07-20,presi@financeira.brb.com.br,,,,R CONDE DE BONFIM 289 A 10 AND,R CONDE DE BONFIM 289 A 10 AND,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,RIO DE JANEIRO,RIO DE JANEIRO,BRASIL,,DEOLINDO PIMENTA NOVAES,Bancos,CANCELADA,,2234-21-24,2342124,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,RJ
2026-06-18,cvm_cadastro_companhias_abertas,,147f3c4161baa8a7d9044560,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,Itaim Bibi,Itaim Bibi,Categoria A,25860,4538132,4538133,49.928.567/0001-11,10.739.356/0001-03,28º andar,26º andar,PRIVADO,11,,11,11,BRBI BR PARTNERS S.A,BRBI BR PARTNERS S.A,,2009-03-12,2021-05-13,2020-07-20,2021-05-13,2021-01-26,2021-05-13,ri@brpartners.com.br,ri@brap.com.br,3704-10-49,,"Avenida Brigadeiro Faria Lima, nº 3.732","Av. Brigadeiro Faria Lima, 3.355",,SÃO PAULO,SÃO PAULO,BRASIL,,Vinicius Carmona Cardoso,Emp. Adm. Part. - Bancos,ATIVO,FASE OPERACIONAL,3704-10-00,3704-10-00,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,922fb875d44d638142d6a48b,KPMG AUDITORES INDEPENDENTES LTDA.,Jardim Europa,JARDIM EUROPA,Categoria B,20672,1455000,1455000,57.755.217/0001-29,08.653.753/0001-08,conjunto 42,CONJUNTO 42,PRIVADO,11,11,11,11,BRC SECURITIZADORA,BRC SECURITIZADORA SA,2020-06-29,2007-01-02,2010-01-01,2011-09-02,2020-06-29,2007-04-20,2007-04-20,deptocontroladoria@bresco.com.br,deptocontroladoria@bresco.com.br,4058-45-56,4058-45-56,"Rua Hungria, 620, 4º andar","RUA HUNGRIA, 620 - 4º ANDAR",ELISÃO POR EXTINÇÃO DA CIA,SÃO PAULO,SÃO PAULO,BRASIL,,CARLOS JAVIER BETANCOURT,Securitização de Recebíveis,CANCELADA,FASE OPERACIONAL,4058-45-55,4058-45-55,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,85d754026b69c5eae4a95e91,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.,Fazenda,Chácara Sto. Antonio,Categoria B,16292,8830-16-00,4730090,10.830.108/0001-65,01.838.723/0001-27,--,27° andar,PRIVADO,11,,11,11,BRF S.A.,BRF S.A.,,1945-11-23,2025-10-30,2025-09-22,1997-06-24,2001-03-31,1997-06-24,ri@mbrf.com,ri@mbrf.com,2322-57-47,,"Av. Jorge Tzachel, 475","Av. Das Nações Unidas, 14.401",,ITAJAÍ,SÃO PAULO,BRASIL,,Jose Ignacio Scoseria Rey,Emp. Adm. Part. - Alimentos,ATIVO,FASE OPERACIONAL,2322-53-77,2322-53-77,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,SC,SP
2026-06-18,cvm_cadastro_companhias_abertas,,717bfbde4c1589ab8220c5af,S BLEINAT & ASSOC AUD INDEP SC,,,,2003,3282000,3282000,62.022.538/0001-54,61.068.557/0001-59,,,PRIVADO,,0011,11,11,BRINQ BANDEIRANTE,BRINQUEDOS BANDEIRANTES SA,1993-09-10,,,1989-08-15,1993-09-10,,1989-08-15,,,,,AVENIDA VILA EMA 2208/58,,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,SÃO PAULO,SÃO PAULO,BRASIL,,RUBENS FERNANDES FERREIRA,Comércio (Atacado e Varejo),CANCELADA,,2715633,2715633,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,6ccb2238828e9a1dbac353fc,RUHTRA S/C,,,,2011,1330-00-00,1330-00-00,33.017.310/0001-78,61.322.731/0001-48,,,PRIVADO,11,0011,11,11,BRINQUEDOS MIMO,BRINQUEDOS MIMO SA,2005-12-20,,,1966-02-10,2005-12-20,,1966-02-10,,,4092678,,AV DR HERC DE GODOY PASSOS 250,AV DR HERC DE GODOY PASSOS 250,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,ITU,ITU,BRASIL,,MARCOS ANTONIO BARBIERI,Brinquedos e Lazer,CANCELADA,,4821500,4821500,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,eaf4092154f62412c3911f55,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,Carrossal Brisa,Carrossal Brisa,Categoria A,26085,6346-00-00,6346-00-00,61.366.936/0001-25,19.796.586/0001-70,Préd1 Ent2 1And Sl1,Préd1 Ent2 1And Sl1,PRIVADO,,,88,88,,BRISANET PARTICIPAÇÕES S.A.,2024-12-04,2014-02-19,2021-07-27,2021-05-31,2024-12-04,2021-06-01,2021-07-27,falecomri@grupobrisanet.com.br,falecomri@grupobrisanet.com.br,,,"Rodovia CE-138, Km14, Estrada Carrossal Brisa 1Km, Portão A","Rodovia CE-138, Km14, Est Carrossal Brisa 1Km, Portão A",ELISÃO POR INCORPORAÇÃO,PEREIRO,PEREIRO,BRASIL,,LUCIANA PAULO FERREIRA,Emp. Adm. Part. - Telecomunicações,CANCELADA,FASE OPERACIONAL,2150-02-88,2150-02-88,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,CE,CE
2026-06-18,cvm_cadastro_companhias_abertas,,11e8ad1cfa91ea8478fcf2c9,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,Zona Rural,Zona Rural,Categoria A,27693,6346-00-00,6346-00-00,61.366.936/0001-25,04.601.397/0001-28,Préd.2 Entr.3 Térreo,Préd.2 Entr.3 Térreo,PRIVADO,,,88,88,,BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,,2001-08-08,2024-07-29,2024-07-29,2024-11-05,2001-08-01,2024-11-05,falecomri@grupobrisanet.com.br,falecomri@grupobrisanet.com.br,,,"Rod. CE-138, CE Divisa c/ RN, Estr. Acesso Brisa 1Km PortãoA","Rod. CE-138, CE Divisa c/ RN, Estr. Acesso Brisa 1Km PortãoA",,PEREIRO,PEREIRO,BRASIL,,LUCIANA PAULO FERREIRA,Telecomunicações,ATIVO,FASE OPERACIONAL,2150-02-88,2150-02-88,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,CE,CE
2026-06-18,cvm_cadastro_companhias_abertas,,06a13d30ae4b677ba19e1378,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,Farol,Farol,Categoria B,26999,5705-50-00,5705-50-00,49.928.567/0001-11,39.580.673/0001-01,Shopping Cidade,Shopping Cidade,PRIVADO,,,82,82,BRK AMBIENTAL - REGIÃO METROPOLITANA DE MACEIÓ S.A.,BRK AMBIENTAL - REGIÃO METROPOLITANA DE MACEIÓ S.A.,,2020-10-21,2022-07-22,2023-01-11,2022-11-07,2022-07-22,2022-11-07,ribrkrmm@brkambiental.com.br,ribrkrmm@brkambiental.com.br,,,"Avenida Fernandes Lima, n° 679, 1º andar","Avenida Fernandes Lima, n° 679, 1º andar",,MACEIÓ,MACEIÓ,BRASIL,,Mateus Lemos Longman,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás",ATIVO,FASE OPERACIONAL,3142-11-20,981859086,SEDE,BALCÃO ORGANIZADO,DIRETOR DE RELAÇÕES COM INVESTIDORES,AL,AL
2026-06-18,cvm_cadastro_companhias_abertas,,48c9c97dad022586f9fabd21,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,Vila Gertrudes,Vila Gertrudes,Categoria A,24830,4794000,4794000,49.928.567/0001-11,24.396.489/0001-20,"7º andar, Setor B","7º andar, Setor B",PRIVADO,11,,11,11,BRK AMBIENTAL PARTICIPAÇÕES S.A.,BRK AMBIENTAL PARTICIPAÇÕES S.A.,,2016-01-28,2022-11-07,2022-09-01,2019-10-22,2019-08-13,2019-10-22,riambiental@brkambiental.com.br,riambiental@brkambiental.com.br,3830-20-00,,"Avenida das Nações Unidas, 14.401, Torre Corp. B2 Paineira","Avenida das Nações Unidas, 14.401, Torre Corp. B2 Paineira",,SÃO PAULO,SÃO PAULO,BRASIL,,Felipe Cardoso de Gusmão Cunha,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás",ATIVO,FASE OPERACIONAL,3830-20-00,3830-20-00,SEDE,BALCÃO NÃO ORGANIZADO,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,36f0b95dad575e067b370ddc,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,Barra da Tijuca,CIDADE JARDIM,Categoria B,20265,2277-50-56,5676120,61.366.936/0001-25,07.700.557/0001-84,"Bloco 8, 2º andar",TORRE3 - ANDAR 1E2,PRIVADO HOLDING,11,11,11,11,BROOKFIELD INCORPORAÇÕES,BROOKFIELD INCORPORAÇÕES S.A.,2016-08-24,1978-01-01,2015-01-05,2012-12-05,2016-08-24,2006-09-11,2006-09-11,ri@br.brookfield.com,ri@br.brookfield.com,3127-92-00,3127-92-00,"Av Paisagista José Silva de Azevedo Neto,200","AV. MAGALHÃES DE CASTRO, 4.800",CANCELAMENTO VOLUNTÁRIO,RIO DE JANEIRO,SÃO PAULO,BRASIL,,ALEXANDRE COSTA FONSECA,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",CANCELADA,FASE OPERACIONAL,4096-64-55,3127-94-88,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,SP
2026-06-18,cvm_cadastro_companhias_abertas,,c3fe4f2bdba4cb61ec6888f6,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,Brooklin Novo,BROOKLIN NOVO,Categoria B,19046,4794000,4794000,49.928.567/0001-11,58.877.812/0001-08,14º andar,"TORRE B, 14º ANDAR",PRIVADO,11,11,11,11,BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.,BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.,2012-06-14,1988-01-01,2010-01-01,2010-12-07,2012-06-14,2001-09-03,2001-09-03,ri@br.brookfield.com,ri@br.brookfield.com,3127-94-08,3127-94-08,"Av. das Nações Unidas, nº 14.171 Torre B","AV. DAS NAçõES UNIDAS,Nº 14171",CANCELAMENTO VOLUNTÁRIO,SÃO PAULO,SÃO PAULO,BRASIL,,ALEXANDRE FONSECA DINKELMANN,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",CANCELADA,FASE OPERACIONAL,3127-94-23,3127-92-93,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,472fb202d9121753b450815d,KPMG AUDITORES INDEPENDENTES LTDA.,Brooklin Novo,BROOKLIN NOVO,Categoria B,19895,4578000,4578000,57.755.217/0001-29,07.088.416/0001-52,Torre A - 18° Andar,"TORRE A, 18º ANDA",PRIVADO,11,011,11,011,FIDES  SECURITIZADORA CRED IMOB SA,BRPR 45 SECURITZADORA CRED IMOB SA,2017-11-14,2004-10-13,2010-01-01,2017-05-02,2017-11-14,2006-04-11,2005-12-22,roberto.ferrari@wtorre.com.br,ri@brpr.com.br,3201-10-01,3201-10-01,"Avenida das Nações Unidas, 12.495","AV DAS NAÇÕES UNIDAS, 12495",CANCELAMENTO VOLUNTÁRIO,SÃO PAULO,SÃO PAULO,BRASIL,,ANDRÉ BERGSTEIN,Securitização de Recebíveis,CANCELADA,FASE OPERACIONAL,3201-10-00,3201-10-00,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,3245eb824b926163244ea6e2,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,Brooklin Novo,BROOKLIN NOVO,Categoria B,19372,4578000,4578000,61.366.936/0001-25,04.800.265/0001-25,Torre A - 18° Andar,TORRE A - 18ºANDAR,PRIVADO,11,11,11,11,WTORRE SECURITIZADORA DE CRED. IMOB. SA,BRPR 51 SECURITZADORA CRED IMOB SA,2015-10-05,2001-11-09,2010-01-01,2012-03-29,2015-10-05,2003-11-30,2003-03-24,roberto.ferrari@wtorre.com.br,ri@brpr.com.br,3201-10-01,3201-10-01,"Avenida das Nações Unidas, 12.495","AV. DAS NAÇOES UNIDAS,12.495",CANCELAMENTO VOLUNTÁRIO,SÃO PAULO,SÃO PAULO,BRASIL,,PEDRO MARCIO DALTRO DOS SANTOS,Securitização de Recebíveis,CANCELADA,FASE OPERACIONAL,3201-10-00,3201-10-00,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,d126996771b33ab6666a9724,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,Brooklin Novo,BROOKLIN NOVO,Categoria B,19976,4578000,4578000,61.366.936/0001-25,07.033.882/0001-30,Torre A - 18° Andar,TORRE A - 18ºANDAR,PRIVADO,11,11,11,11,WTORRE TSSP SEC DE CRED IMOBILIÁRIOS S/A,BRPR 52 SECURITZADORA CRED IMOB SA,2015-11-03,2004-08-02,2010-01-01,2012-03-29,2015-11-03,2006-02-18,2006-02-17,roberto.ferrari@wtorre.com.br,ri@brpr.com.br,3201-10-01,3201-10-01,"Avenida das Nações Unidas, 12.495","AV. DAS NAÇOES UNIDAS,12.495",CANCELAMENTO VOLUNTÁRIO,SÃO PAULO,SÃO PAULO,BRASIL,,PEDRO MARCIO DALTRO DOS SANTOS,Securitização de Recebíveis,CANCELADA,FASE OPERACIONAL,3201-10-00,3201-10-00,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,ef1c01916afe4b184fb3b42c,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,Brooklin Novo,BROOKLIN NOVO,Categoria B,19380,4578000,4578000,61.366.936/0001-25,04.370.082/0001-17,Torre A - 18° Andar,"Nº 12.495, 18º AND",PRIVADO,11,011,11,011,WTORRE TC SEC DE CRÉDITOS IMOBILIÁRIOS. S.A.,BRPR 53 SECURITZADORA CRED IMOB SA,2016-09-13,2001-03-05,2010-01-01,2015-08-08,2016-09-13,2003-09-30,2003-05-08,roberto.ferrari@wtorre.com.br,ri@brpr.com.br,3201-10-01,3201-10-01,"Avenida das Nações Unidas, 12.495","AV DAS NAÇÕES UNIDAS, TORRE A",CANCELAMENTO VOLUNTÁRIO,SÃO PAULO,SÃO PAULO,BRASIL,,ANDRE FERNANDES BERENGUER,Securitização de Recebíveis,CANCELADA,FASE OPERACIONAL,3201-10-00,3201-10-00,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,e7043bd46735176c7125e09a,KPMG AUDITORES INDEPENDENTES LTDA.,Brooklin Novo,BROOKLIN NOVO,Categoria B,19941,4578000,4578000,57.755.217/0001-29,07.710.591/0001-30,Torre A - 18° Andar,"TORRE A, 18º ANDAR",PRIVADO,11,11,11,11,WTORRE VPA SEC DE CRED IMOBILIARIOS S.A,BRPR 55 SECURITZADORA CRED IMOB SA,2019-04-08,2005-07-29,2010-01-01,2017-05-17,2019-04-08,2006-05-26,2006-01-26,ri@brpr.com.br,ri@brpr.com.br,3201-10-01,3201-10-01,"Avenida das Nações Unidas, 12.495",AV. DAS NAÇÕES UNIDAS 12.495,ELISÃO POR INCORPORAÇÃO,SÃO PAULO,SÃO PAULO,BRASIL,,ANDRÉ BERGSTEIN,Securitização de Recebíveis,CANCELADA,FASE OPERACIONAL,3201-10-00,3201-10-00,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
